no_of_zone,no_of_schools_primary,no_of_schools_middle,no_of_schools_sec,no_of_schools_sr_sec,no_of_schools_total,no_of_students_pre_primary,no_of_students_primary,no_of_students_middle,no_of_students_secondary,no_of_students_sr_secondary,no_of_students_boys,no_of_students_girls,no_of_students_total,number_of_students_appeared_in_class_x_before_compt_202324,total_number_of_students_passed_in_class_x_before_compt_202324,pass_percentage_in_class_x_before_compt_202324,quality_index_in_class_x_before_compt_202324,total_number_of_students_appeared_in_class_xii_before_compt_202324,total_number_of_students_passed_in_class_xii_before_compt_202324,pass_percentage_in_class_xii_before_compt_202324,quality_index_in_class_xii_before_compt_202324,district_East,district_New Delhi,district_North,district_North East-I,district_North East-II,district_North West A,district_North West B-I,district_North West B-II,district_South,district_South East,district_South West A,district_South West B-I,district_South West B-II,district_West A,district_West B
1.0,0.0,0.25,0.5714285714285714,0.9999999999999999,0.9999999999999999,0.9279348102877514,1.0,0.8786049794348852,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,0.407127429805616,0.4474226804123731,0.9925579297513671,0.9819442017589842,0.3119266055045884,0.36989055170873364,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,0.0,0.5,0.14285714285714285,0.3796296296296296,0.38135593220338987,0.1634835752482811,0.18668849497572543,0.5998077344301395,0.7779171894604767,0.7503396982049632,0.6586099328979556,0.6762296323982504,0.6678822610054701,0.8377615326443156,0.8036613768076694,0.0,0.0,0.8008118622089416,0.7780301706564156,0.0,0.20817511726602778,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0.5,0.0,1.0,0.5714285714285714,0.4629629629629629,0.5254237288135593,0.49732620320855614,0.49819351925031047,0.35469347027184894,0.3775141629595833,0.388972323535722,0.4150003366323302,0.3951491519602396,0.40455369436130795,0.37383413158558104,0.3675459026160429,0.24082073434125384,0.47319587628866167,0.3975305857811355,0.3974605393441668,0.4917431192660544,0.46683046683046747,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.5,0.0,0.0,0.5,0.9907407407407406,0.9661016949152542,0.6322892793481029,0.605792028903692,0.9999999999999999,0.8990342572525758,0.8679587117690529,0.967683296303777,0.9379956158516258,0.9520602197638628,0.9267456516259138,0.9790933217786925,0.9719222462203021,0.5584192439862541,0.852173422788521,0.8668530491001223,0.8018348623853235,0.6884074156801434,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0.5,0.0,0.0,0.0,0.7499999999999999,0.6864406779661016,1.0,0.8678446426555267,0.7130253839227043,0.6804113912018553,0.6571789553982216,0.7885948966538746,0.7169799884840342,0.7509077087464316,0.6557600201663727,0.6523858527866544,0.3552915766738671,0.22508591065292194,0.675706150983819,0.6779661016949152,0.5559633027522928,0.3812821085548368,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1.0,0.0,0.0,0.07142857142857142,0.5092592592592592,0.4745762711864407,0.5627705627705627,0.5227503669414023,0.4416023753315973,0.36914946199764265,0.34365539107010895,0.42920622096546157,0.43784914084834275,0.43375453854373214,0.3015881018401815,0.3128960623950604,0.7796976241900655,0.5841924398625427,0.34594350792129447,0.351971576678898,0.7963302752293586,0.5883404065222253,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.5,0.0,0.0,0.42857142857142855,0.6944444444444444,0.6864406779661016,0.6824548001018589,0.6362199390312747,0.9283019786317506,0.883388464316946,0.8845264487830461,0.9412464373078391,0.908417766912812,0.9239704217190914,0.7562893874464331,0.7665059849428586,0.5421166306695469,0.6357388316151198,0.8383041100524327,0.8515929873609411,0.7779816513761446,0.6093366093366095,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.5,0.0,0.0,0.07142857142857142,0.32407407407407407,0.3050847457627119,0.36210847975553856,0.3435700575815739,0.22149480396213098,0.20717843428006538,0.21881332093732866,0.2536636818600059,0.23416807248997404,0.24340416030960443,0.21754474413914798,0.22813193955478525,0.8887688984881219,0.3656357388316174,0.23825900659638044,0.24299609761779956,0.8311926605504603,0.5340629886084436,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,0.0,0.0,0.14285714285714285,0.41666666666666663,0.3983050847457627,0.3773873185637891,0.35469120469684995,0.40588722042395775,0.384586137409224,0.406708145605378,0.4303395498103638,0.40467507803582065,0.4168336779879964,0.3337534660952861,0.33992308942208743,0.591792656587474,0.9649484536082475,0.35800868241529005,0.3668821713553498,0.9229357798165125,0.864194773285683,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.5,0.0,0.0,0.6428571428571428,0.537037037037037,0.5677966101694915,0.6221033868092691,0.4466523653607316,0.5504636277349169,0.561879776434356,0.5641612434146225,0.5787944074148882,0.5781418888204216,0.5784510209397643,0.5512477943029999,0.568325840870931,0.7159827213822894,0.24810996563573973,0.5457518182330721,0.5490710000582445,0.60366972477064,0.39580075943712334,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5259179265658744,0.22714776632302502,0.0,0.0,0.18899082568807302,0.002429081974538061,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0.5,0.0,0.5,0.21428571428571427,0.2962962962962963,0.3135593220338983,0.29742806213394446,0.28694817658349325,0.13110564871376768,0.10611763811261929,0.08913204128823096,0.12625956596871563,0.1524754275554837,0.1400556054669849,0.09458028737080917,0.0990088284677463,0.8617710583153357,0.40274914089347114,0.09545018887072221,0.09470557399965054,0.3486238532110093,0.4295287022559755,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.5,0.0,0.75,0.3571428571428571,0.8240740740740741,0.8220338983050847,0.6129360835243187,0.6659704188777239,0.840407408308793,0.9717691342534504,0.9939450284869723,0.9481698422316479,0.9251159172870809,0.9360377649366597,0.9525081925888581,0.9620321724530141,0.5064794816414704,0.45910652920962214,1.0,1.0,0.4990825688073386,0.38440920259102107,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0.5,0.0,1.0,1.0,0.5925925925925926,0.6949152542372881,0.5113318054494524,0.4728463362312295,0.7272506023509941,0.7708832363788448,0.7274786049727049,0.740714558226172,0.7596900790965018,0.7507003843475395,0.7627930426014621,0.7563776201050749,0.3228941684665241,0.1020618556701045,0.7288718498054912,0.7157667889801386,0.18348623853211166,0.25954880500335076,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
